::1 - - [15/Aug/2022:04:41:38 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:04:41:54 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:04:41:55 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:04:42:34 +0000] "GET /api/v1/categories HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:04:42:34 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:04:42:34 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:00:28 +0000] "GET / HTTP/1.0" 404 139 "-" "Go-http-client/1.1"
::1 - - [15/Aug/2022:05:05:10 +0000] "GET / HTTP/1.0" 404 139 "-" "-"
::ffff:127.0.0.1 - - [15/Aug/2022:05:06:13 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [15/Aug/2022:05:06:13 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:05:11:05 +0000] "POST /api/v1/users/login HTTP/1.0" 200 504 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:11:06 +0000] "GET /api/v1/categories HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:11:06 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 200 122 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:11:06 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 200 2692 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:11:11 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:11:11 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:11:12 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:11:20 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:11:20 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:12:05 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:12:05 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:12:05 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:12:12 +0000] "GET /api/v1/goods/62f483d499e2a94b91d43a53 HTTP/1.0" 200 451 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:12:12 +0000] "GET /upload/undefined HTTP/1.0" 404 155 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:12:12 +0000] "GET /api/v1/transactions/user?good=62f483d499e2a94b91d43a53&sort=-createdAt HTTP/1.0" 200 2417 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:12:12 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:13:14 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:13:18 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:13:19 +0000] "GET /api/v1/bills/user?limit=1000&sort=-createdAt&type=%D0%9E%D1%80%D0%BB%D0%BE%D0%B3%D0%BE HTTP/1.0" 200 1928 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:13:24 +0000] "GET /api/v1/bills/user?limit=1000&sort=-createdAt&type=%D0%97%D0%B0%D1%80%D0%BB%D0%B0%D0%B3%D0%B0 HTTP/1.0" 200 1955 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:13:31 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:13:40 +0000] "GET /api/v1/categories HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:13:40 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:13:40 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:05:13:45 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:05:13:45 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
